time,signal
1063,5.011666667
1064,5.238333333
1065,2.78
1066,4.32
1067,6.241666667
1068,5.221666667
1069,5.151666667
1070,6.306666667
1071,7.108
1072,7.441666667
1073,8.088333333
1074,8.586666667
1075,8.086666667
1076,7.1025
1077,7.6
1078,8.226
1079,9.02
1080,9.875
1081,9.553333333
1082,9.081666667
1083,7.828333333
1084,8.168
1085,8.026666667
1086,9.138333333
1087,9.383333333
1088,10.51166667
1089,11.245
1090,10.66333333
1091,9.3
1092,10.18833333
1093,9.698333333
1094,10.23166667
1095,9.696666667
1096,9.811666667
1097,9.775
1098,10.23
1099,11.01
1100,12.12166667
1101,12.65833333
1102,12.22166667
1103,10.61166667
1104,11.29166667
1105,10.088
1106,9.148333333
1107,10.73833333
1108,9.584
1109,6.453333333
1110,4.908333333
1111,3.673333333
1112,4.566
1113,4.948333333
1114,7.033333333
1115,7.416666667
1116,7.588333333
1117,7.263333333
1118,8.653333333
1119,8.396666667
1120,7.865
1121,8.125
1122,7.635
1123,6.523333333
1124,6.54
1125,4.508333333
1126,3.826666667
1127,2.966
1128,3.35
1129,5.128
1130,5.383333333
1131,3.743333333
1132,3.271666667
1133,3.53
1134,3.03
1135,2.875
1136,3.13
1137,3.24
1138,3.09
1139,3.883333333
1140,3.326666667
1141,3.175
1142,4.3575
1143,4.04
1144,4.445
1145,2.9175
1146,4.621666667
1147,5.571666667
1148,5.545
1149,5.1
1150,7.203333333
1151,7.3
1152,7.333333333
1153,8.163333333
1154,8.611666667
1155,8.611666667
1156,7.715
1157,6.61
1158,9.525
1159,11.575
1160,9.141666667
1161,9.311666667
1162,8.508333333
1163,7.211666667
1164,7.251666667
1165,6.074
1166,8.3425
1167,7.428
1168,6.916666667
1169,6.08
1170,5.746666667
1171,6.525
1172,8.26
1173,9.43
1174,9.828333333
1175,9.402
1176,10.66
1177,8.02
1178,9.44
1179,10.374
1180,9.363333333
1181,11.195
1182,12.125
1183,12.61
1184,9.5
1185,9.086666667
1186,10.37
1187,9.891666667
1188,9.932
1189,8.718
1190,10.35
1191,9.598333333
1192,10.42
1193,10.04333333
1194,7.738333333
1195,8.133333333
1196,7.94
1197,6.975
1198,7.763333333
1199,6.438333333
1200,6.311666667
1201,6.196666667
1202,4.466666667
1203,6.781666667
1204,6.425
1205,7.258333333
1206,7.432
1207,5.801666667
1208,9.413333333
1209,5.995
1210,6.521666667
1211,5.48
1212,7.716666667
1213,7.805
1214,8.005
1215,6.703333333
1216,5.97
1217,5.981666667
1218,5.144
1219,3.47
1220,3.763333333
1221,3.89
1222,5.071666667
1223,4.72
1224,3.873333333
1225,4.81
1226,5.368333333
1227,4.843333333
1228,4.55
1229,4.02
1230,3.27
1231,1.86
1232,4.091666667
1233,3.938
1234,3.09
1235,2.926666667
1236,4.506666667
1237,5.446666667
1238,5.958333333
1239,5.67
1240,5.928333333
1241,4.818333333
1242,6.216666667
1243,7.376666667
1244,8.18
1245,8.436
1246,8.25
1247,8.12
1248,8.196
1249,7.5325
1250,6.966666667
1251,6.916666667
1252,5.925
1253,3.86
1254,4.3175
1255,5.433333333
1256,5.953333333
1257,5.466666667
1258,6.43
1259,6.13
1260,6.141666667
1261,6.421666667
1262,6.141666667
1263,6.245
1264,6.991666667
1265,7.37
1266,8.75
1267,7.946666667
1268,8.063333333
1269,7.013333333
1270,6.736666667
1271,5.661666667
1272,6.143333333
1273,7.17
1274,5.6
1275,6.175
1276,6.61
1277,5.72
1278,8.61
1279,8.515
1280,9.36
1281,8.198333333
1282,9.686666667
1283,11.49333333
1284,10.53333333
1285,9.1
1286,10.96833333
1287,10.235
1288,9.234
1289,10.91
1290,8.663333333
1291,8.2
1292,7.958
1293,7.153333333
1294,7.313333333
1295,6.188333333
1296,7.071666667
1297,7.691666667
1298,7.36
1299,7.703333333
1300,8.415
1301,9.3775
1302,9.784
1303,8.0525
1304,6.93
1305,8.8
1306,10.27833333
1307,11.29333333
1308,11.32
1309,10.035
1310,8.62
1311,8.216666667
1312,6.745
1313,8.633333333
1314,6.2425
1315,6.743333333
1316,7.356666667
1317,6.49
1318,7.738333333
1319,9.42
1320,8.343333333
1321,7.56
1322,9.22
1323,10.17
1324,10.83
1325,9.9
1326,9.885
1327,7.751666667
1328,7.116666667
1329,6.686666667
1330,7.373333333
1331,7.808333333
1332,8.328333333
1333,8.145
1334,8.851666667
1335,10.38333333
1336,11.46833333
1337,11.885
1338,10.866
1339,8.971666667
1340,6.583333333
1341,6.235
1342,7.598333333
1343,10.07166667
1344,8.701666667
1345,8.946666667
1346,10.505
1347,9.271666667
1348,8.408333333
1349,9.686666667
1350,10.29
1351,8.17
1352,6.42
1353,8.163333333
1354,6.693333333
1355,8.198333333
1356,8.956
1357,9.346
1358,9.095
1359,9.03
1360,12.45
1361,11.24666667
1362,8.381666667
1363,6.725
1364,7.995
1365,8.261666667
1366,5.903333333
1367,5.46
1368,4.843333333
1369,4.491666667
1370,6.271666667
1371,6.066666667
1372,7.406666667
1373,6.303333333
1374,7.421666667
1375,6.67
1376,7.818333333
1377,6.866666667
1378,7.098333333
1379,5.943333333
1380,7.806666667
1381,8.346666667
1382,9.815
1383,7.624
1384,7.025
1385,6.228
1386,6.003333333
1387,8.24
1388,9.356666667
1389,8.066666667
1390,7.038333333
1391,5.731666667
1392,6.882
1393,7.62
1394,12.4825
1395,11.8225
1396,8.955
1397,6.666666667
1398,6.223333333
1399,4.203333333
1400,3.918333333
1401,4.828333333
1402,5.565
1403,4.995
1404,5.35
1405,5.568333333
1406,5.398333333
1407,4.751666667
1408,3.998333333
1409,5.743333333
1410,5.216666667
1411,4.35
1412,3.03
1413,3.17
1414,3.42
1415,3.24
1416,2.89
1417,4.8475
1418,5.858333333
1419,6.576666667
1420,7.548333333
1421,6.526666667
1422,5.423333333
1423,6.631666667
1424,6.966666667
1425,6.508333333
1426,8.053333333
1427,7.83
1428,6.6825
1429,6.795
1430,5.75
1431,5.006666667
1432,4.163333333
1433,3.973333333
1434,5.093333333
1435,5.198333333
1436,5.108333333
1437,5.251666667
1438,4.151666667
1439,4.563333333
1440,4.415
1441,4.781666667
1442,4.776666667
1443,5.475
1444,5.881666667
1445,5.518333333
1446,6.335
1447,8.368333333
1448,8.495
1449,8.776666667
1450,8.408333333
1451,7.878333333
1452,7.08
1453,5.911666667
1454,5.17
1455,4.046
1456,4.775
1457,3.686666667
1458,3.648
1459,3.675
1460,5.538333333
1461,5.453333333
1462,4.575
1463,4.55
1464,5.031666667
1465,4.565
1466,4.813333333
1467,5.273333333
1468,4.745
1469,6.578333333
1470,5.486666667
1471,2.826666667
1472,5.56
1473,7.39
1474,6.815
1475,5.295
1476,6.66
1477,7.35
1478,8.48
1479,6.81
1480,7.713333333
1481,7.046666667
1482,9.351666667
1483,7.72
1484,7.726666667
1485,5.691666667
1486,5.576666667
1487,6.251666667
1488,5.766666667
1489,5.262
1490,3.758333333
1491,3.493333333
1492,3.716666667
1493,4.618333333
1494,6.608333333
1495,7.973333333
1496,7.576666667
1497,7.37
1498,7.165
1499,7.453333333
1500,7.411666667
1501,7.888333333
1502,7.198333333
1503,6.841666667
1504,7.648333333
1505,6.896666667
1506,7.0975
1507,6.606666667
1508,6.523333333
1509,6.296
1510,5.484
1511,5.388333333
1512,5.4975
1513,7.025
1514,6.17
1515,6.533333333
1516,5.973333333
1517,6.755
1518,9.67
1519,9.78
1520,8.021666667
1521,9.268333333
1522,9.836666667
1523,8.17
1524,10.35
1525,9.9
1526,10.9
1527,11.60166667
1528,7.255
1529,6.936666667
1530,9.383333333
1531,6.64
1532,5.028333333
1533,7.171666667
1534,7.34
1535,7.235
1536,6.951666667
1537,6.595
1538,6.336666667
1539,6.106666667
1540,6.168333333
1541,7.312
1542,8.22
1543,8.944
1544,10.42
1545,11
1546,8.716666667
1547,8.0125
1548,6.916
1549,5.233333333
1550,5.43
1551,7.638333333
1552,7.196666667
1553,7.436
1554,8.974
1555,9.391666667
1556,9.431666667
1557,7.3
1558,4.21
1559,3.35
1560,1.92
1561,4.23
1562,3.75
1563,3.06
1564,3.216666667
